"customerid","Contract","MonthlyCharges","tenure","Churn","risk_segment"
"7080-TNUWP","One year","95","70","No","stable"
"0496-AHOOK","One year","74.4","24","No","stable"
"8336-TAVKX","Two year","78.45","72","No","stable"
"2468-SJFLM","Month-to-month","74.3","1","No","medium risk"
"3181-VTHOE","One year","51.05","70","No","stable"
"7168-HDQHG","Month-to-month","19.2","36","No","medium risk"
"4803-AXVYP","Month-to-month","99.55","38","Yes","churned"
"3884-HCSWG","Month-to-month","70","17","Yes","churned"
"4567-AKPIA","One year","109.1","41","No","stable"
"5077-DXTCG","Month-to-month","45.3","1","Yes","churned"
"1142-WACZW","Month-to-month","29.85","2","Yes","churned"
"7901-HXJVA","Month-to-month","76.45","14","No","medium risk"
"5649-ANRML","Month-to-month","95.1","2","Yes","churned"
"4892-VLANZ","Month-to-month","19.8","1","Yes","churned"
"5924-IFQTT","Month-to-month","72.8","13","No","medium risk"
"7968-QUXNS","Month-to-month","18.95","6","No","medium risk"
"2919-HBCJO","Month-to-month","76.65","4","Yes","churned"
"4236-XPXAV","Month-to-month","99.15","5","Yes","churned"
"8903-WMRNW","Month-to-month","101.75","15","No","medium risk"
"2452-SNHFZ","Month-to-month","75.45","47","No","medium risk"
"3629-WEAAM","Month-to-month","64.1","8","No","medium risk"
"6029-CSMJE","Month-to-month","25.65","17","No","medium risk"
"7993-NQLJE","Month-to-month","75.1","15","No","medium risk"
"9909-DFRJA","One year","95.85","26","No","stable"
"9099-FTUHS","Month-to-month","54.4","23","No","medium risk"
"0581-BXBUB","Month-to-month","72.75","4","No","medium risk"
"4962-CHQPW","One year","19.85","29","No","stable"
"9467-ROOLM","Month-to-month","19.05","25","No","medium risk"
"3030-YZADT","Month-to-month","44.95","9","Yes","churned"
"7410-KTVFV","Month-to-month","49.55","18","Yes","churned"
"5150-ITWWB","Month-to-month","94.85","3","No","high risk"
"2253-KPMNB","Two year","46.25","69","No","stable"
"1345-ZUKID","One year","19.35","14","No","stable"
"6429-SHBCB","Month-to-month","69.6","19","No","medium risk"
"9281-OFDMF","Month-to-month","90.7","39","No","medium risk"
"2603-HVKCG","Month-to-month","101.4","31","No","medium risk"
"1834-WULEG","One year","20.25","24","No","stable"
"9097-ZUBYC","Month-to-month","48.8","14","No","medium risk"
"5148-ORICT","Two year","74.35","64","No","stable"
"4893-GYUJU","One year","19.35","50","No","stable"
"4578-PHJYZ","One year","68.75","52","No","stable"
"7272-QDCKA","One year","100.2","28","No","stable"
"8908-SLFCJ","Two year","20.85","21","No","stable"
"8393-DLHGA","Month-to-month","95.9","25","Yes","churned"
"9766-HGEDE","One year","19.35","17","No","stable"
"6968-MHOMU","One year","45","58","No","stable"
"7395-IGJOS","Month-to-month","81.5","17","Yes","churned"
"5044-XDPYX","Two year","25.5","51","No","stable"
"1814-WFGVS","Two year","48.9","72","No","stable"
"2834-SPCJV","Month-to-month","84.1","52","Yes","churned"
"3721-WKIIL","Two year","19.6","27","No","stable"
"6734-CKRSM","Month-to-month","20","3","No","medium risk"
"1265-ZFOSD","Two year","81.3","64","No","stable"
"6568-POCUI","Two year","95.2","45","No","stable"
"7890-VYYWG","Month-to-month","36.45","3","Yes","churned"
"5197-LQXXH","Two year","83.3","71","No","stable"
"9907-SWKKF","Month-to-month","25.05","1","Yes","churned"
"3457-PQBYH","Two year","20.3","58","No","stable"
"7682-AZNDK","Month-to-month","89.85","34","No","medium risk"
"0587-DMGBH","Month-to-month","49.85","8","Yes","churned"
"5384-ZTTWP","Month-to-month","19.8","15","No","medium risk"
"3745-HRPHI","Two year","54.65","66","No","stable"
"7636-OWBPG","Month-to-month","29.35","12","No","medium risk"
"1231-YNDEK","Two year","19.15","58","No","stable"
"1407-DIGZV","Two year","19.1","3","No","stable"
"6397-JNZZG","Month-to-month","55.55","43","Yes","churned"
"0570-BFQHT","Month-to-month","80.55","9","No","high risk"
"4393-OBCRR","One year","20.25","3","No","stable"
"3523-QRQLL","One year","69.5","22","Yes","churned"
"8564-LDKFL","One year","106","40","No","stable"
"3696-DFHHB","Two year","25.5","68","No","stable"
"0895-DQHEW","Month-to-month","104.3","54","Yes","churned"
"4717-GHADL","Two year","79.6","50","No","stable"
"5501-TVMGM","Month-to-month","55.25","1","No","medium risk"
"5879-HMFFH","Two year","88.05","72","No","stable"
"6772-WFQRD","One year","20.4","40","No","stable"
"3810-DVDQQ","Two year","117.6","72","No","stable"
"6972-SNKKW","Month-to-month","20","6","No","medium risk"
"3694-GLTJM","Month-to-month","19.65","5","No","medium risk"
"8550-XSXUQ","One year","70.55","48","No","stable"
"8149-RSOUN","Month-to-month","93.85","1","Yes","churned"
"9055-MOJJJ","One year","65.8","64","No","stable"
"4359-INNWN","One year","20.05","17","No","stable"
"0585-EGDDA","Month-to-month","80","40","No","medium risk"
"4032-RMHCI","One year","35.4","41","No","stable"
"0549-CYCQN","One year","79.6","51","No","stable"
"3481-JHUZH","Month-to-month","80.25","41","No","medium risk"
"7250-EQKIY","Month-to-month","50.45","1","Yes","churned"
"3594-IVHJZ","Month-to-month","20.45","2","No","medium risk"
"6869-FGJJC","One year","79.6","68","No","stable"
"3896-ZVNET","Two year","24.7","24","No","stable"
"8205-VSLRB","Two year","77.3","70","No","stable"
"5960-MVTUK","Month-to-month","29.75","3","No","medium risk"
"6817-WTYHE","Month-to-month","44.9","2","No","medium risk"
"3082-VQXNH","Month-to-month","29.8","3","No","medium risk"
"4013-UBXWQ","Month-to-month","74.65","7","Yes","churned"
"4931-TRZWN","Month-to-month","71.95","13","No","medium risk"
"0750-EKNGL","Month-to-month","20.75","7","No","medium risk"
"7669-LCRSD","Month-to-month","56.3","12","No","medium risk"
"3567-PQTSO","One year","105.25","53","No","stable"
"5519-NPHVG","Month-to-month","94.2","12","Yes","churned"
"8043-PNYSD","Two year","19.55","63","No","stable"
"9938-EKRGF","Month-to-month","84.45","15","No","medium risk"
"2703-AMTUL","One year","53.65","36","No","stable"
"0928-JMXNP","Month-to-month","29.9","4","No","medium risk"
"8173-RXAYP","Two year","19.7","24","No","stable"
"4825-XJGDM","One year","43.7","61","No","stable"
"5402-HTOTQ","Month-to-month","55.3","16","No","medium risk"
"6734-JDTTV","Two year","19.85","65","No","stable"
"7850-THJMU","Two year","19.65","26","No","stable"
"3890-RTCMS","Month-to-month","49.45","16","No","medium risk"
"8849-GYOKR","One year","106.55","54","Yes","churned"
"3148-BLQJT","Month-to-month","20.1","1","Yes","churned"
"3717-FDJFU","Two year","20.45","5","No","stable"
"3665-JATSN","Month-to-month","39.7","19","No","medium risk"
"7966-YOTQW","Month-to-month","54.5","10","No","medium risk"
"0461-CVKMU","Month-to-month","83.8","23","Yes","churned"
"8806-EAGWC","Month-to-month","55.15","3","Yes","churned"
"8853-TZDGH","Two year","111.6","72","No","stable"
"7779-LGOVN","Month-to-month","86.65","10","Yes","churned"
"4324-BZCKL","Month-to-month","55.55","10","No","medium risk"
"6924-TDGMT","One year","20.55","11","No","stable"
"9710-ZUSHQ","Month-to-month","106.75","37","Yes","churned"
"1536-YHDOE","One year","62.1","17","No","stable"
"8123-QBNAZ","Month-to-month","104.5","36","No","medium risk"
"3629-ZNKXA","Month-to-month","101.8","17","No","medium risk"
"4827-LTQRJ","One year","110.6","66","No","stable"
"7711-YIJWC","One year","84.9","61","No","stable"
"5482-VXSXJ","Month-to-month","93.2","22","No","medium risk"
"7365-BVCJH","Month-to-month","24.4","1","No","medium risk"
"9620-ENEJV","Month-to-month","70.55","6","No","medium risk"
"4183-WCSEP","Month-to-month","78.45","31","Yes","churned"
"2378-YIZKA","Two year","85","68","No","stable"
"5498-TXHLF","Month-to-month","87.45","34","Yes","churned"
"0689-DSXGL","Month-to-month","85.8","52","No","medium risk"
"6818-DJXAA","Month-to-month","91.1","10","No","high risk"
"9722-UJOJR","Month-to-month","70.75","29","Yes","churned"
"0464-WJTKO","Two year","20.1","72","No","stable"
"8902-ZEOVF","One year","20.05","47","No","stable"
"6778-EICRF","One year","74.8","24","No","stable"
"2662-NNTDK","One year","24.8","65","No","stable"
"4132-KALRO","Month-to-month","100.85","4","No","high risk"
"3902-FOIGH","Month-to-month","101.35","12","Yes","churned"
"6772-KSATR","Month-to-month","81.7","1","Yes","churned"
"7112-OPOTK","Month-to-month","68.25","33","Yes","churned"
"2874-YXVVA","Month-to-month","105.1","34","No","medium risk"
"1245-HARPS","Two year","20.4","14","No","stable"
"4210-QFJMF","Month-to-month","79.15","4","Yes","churned"
"4323-ELYYB","One year","20","13","No","stable"
"4293-ETKAP","Two year","79.4","65","No","stable"
"6064-PUPMC","One year","57.2","23","No","stable"
"6504-VBLFL","Two year","58.6","55","No","stable"
"6322-PJJDJ","Two year","94.8","49","No","stable"
"0330-BGYZE","One year","102.5","60","No","stable"
"1085-LDWAM","One year","20.35","69","No","stable"
"7586-ZATGZ","Month-to-month","84.9","40","No","medium risk"
"7197-VOJMM","Two year","69.2","67","No","stable"
"3318-OSATS","Month-to-month","95.45","35","Yes","churned"
"5828-AVIPD","One year","100.95","19","Yes","churned"
"1843-TLSGD","Two year","20.85","13","No","stable"
"9626-VFRGG","Month-to-month","88.5","41","No","medium risk"
"7075-BNDVQ","Month-to-month","35","4","No","medium risk"
"9143-CANJF","Month-to-month","55.15","24","No","medium risk"
"7284-BUYEC","Month-to-month","50.95","5","No","medium risk"
"2041-JIJCI","Month-to-month","64","5","No","medium risk"
"1086-LXKFY","Month-to-month","69.1","1","Yes","churned"
"4900-MSOMT","Two year","80.2","72","No","stable"
"2229-VWQJH","Month-to-month","49.3","24","No","medium risk"
"9194-GFVOI","Two year","84.35","42","No","stable"
"1336-EZFZY","Month-to-month","20.05","4","No","medium risk"
"4282-MSACW","One year","117.2","68","No","stable"
"1403-LKLIK","One year","20.1","33","No","stable"
"2636-ALXXZ","Month-to-month","69.6","1","Yes","churned"
"7774-OJSXI","One year","103.45","31","Yes","churned"
"7786-WBJYI","Month-to-month","77.95","4","Yes","churned"
"0136-IFMYD","Two year","109.95","69","No","stable"
"5144-TVGLP","Month-to-month","94.75","38","No","medium risk"
"9643-AVVWI","Month-to-month","80","3","No","medium risk"
"0253-ZTEOB","Two year","79.65","48","No","stable"
"2706-QZIHY","Two year","25.2","15","No","stable"
"6061-PQHMK","One year","19.9","25","No","stable"
"9885-CSMWE","Month-to-month","78.45","1","Yes","churned"
"6137-MFAJN","Month-to-month","44.8","48","No","medium risk"
"9122-UMROB","Month-to-month","20.3","1","No","medium risk"
"4232-JGKIY","Month-to-month","19.2","1","No","medium risk"
"2402-TAIRZ","One year","80.05","37","No","stable"
"9659-ZTWSM","One year","107.35","66","No","stable"
"9139-TWBAS","One year","47.85","26","No","stable"
"6685-GBWJZ","One year","70.8","63","No","stable"
"5016-ETTFF","Month-to-month","29.5","10","Yes","churned"
"3866-MDTUB","Month-to-month","70.75","2","Yes","churned"
"2195-VVRJF","Month-to-month","59.1","18","No","medium risk"
"3913-RDSJZ","Two year","25.55","64","No","stable"
"8058-JMEQO","Month-to-month","84.45","9","Yes","churned"
"4203-QGNZA","Month-to-month","20.25","28","No","medium risk"
"5043-TRZWM","Month-to-month","75.55","1","No","medium risk"
"0697-ZMSWS","Month-to-month","85.65","4","Yes","churned"
"7657-DYEPJ","One year","70.15","38","Yes","churned"
"9494-BDNNC","One year","95.3","66","No","stable"
"1640-PLFMP","Month-to-month","70.25","1","No","medium risk"
"5366-OBVMR","Month-to-month","50.3","18","No","medium risk"
"8276-MQBYC","Month-to-month","97.8","51","Yes","churned"
"7593-XFKDI","Month-to-month","46.3","1","Yes","churned"
"4573-JKNAE","Two year","19.35","12","No","stable"
"0337-CNPZE","Month-to-month","106.3","41","Yes","churned"
"9817-APLHW","Month-to-month","25","12","No","medium risk"
"8380-MQINP","Two year","20.3","55","No","stable"
"0840-DFEZH","Month-to-month","75.35","7","No","medium risk"
"1513-XNPPH","Month-to-month","89.4","12","Yes","churned"
"8690-ZVLCL","Two year","88","68","No","stable"
"6015-VVHHE","Month-to-month","83.15","5","Yes","churned"
"1125-SNVCK","Month-to-month","43.8","49","No","medium risk"
"0384-LPITE","One year","62.05","40","No","stable"
"4616-EWBNJ","One year","20.1","16","No","stable"
"6347-DCUIK","Month-to-month","74.15","10","Yes","churned"
"1335-HQMKX","One year","101.35","72","No","stable"
"2545-EBUPK","Month-to-month","84.05","2","No","high risk"
"6923-AQONU","Two year","20.9","23","No","stable"
"2172-EJXVF","One year","105.9","71","No","stable"
"0897-FEGMU","Month-to-month","99.5","11","Yes","churned"
"7663-RGWBC","Month-to-month","44.15","1","Yes","churned"
"1120-BMWUB","Month-to-month","53.9","16","Yes","churned"
"9124-LHCJQ","Month-to-month","85.45","1","Yes","churned"
"4536-PLEQY","Month-to-month","85.05","12","No","medium risk"
"7029-IJEJK","One year","44.1","54","No","stable"
"8871-JLMHM","Two year","90.2","68","No","stable"
"2235-ZGKPT","Month-to-month","50.85","4","Yes","churned"
"3891-PUQOD","Month-to-month","59.2","1","Yes","churned"
"5447-VYTKW","Month-to-month","53.45","27","No","medium risk"
"3623-FQBOX","Month-to-month","19.95","21","No","medium risk"
"0689-NKYLF","Month-to-month","83.2","13","Yes","churned"
"8659-HDIYE","Month-to-month","74.65","64","No","medium risk"
"3658-KIBGF","Month-to-month","54.9","1","Yes","churned"
"3474-BAFSJ","Two year","57.5","57","No","stable"
"5519-YLDGW","Month-to-month","103.9","21","Yes","churned"
"3865-ZFZIB","Two year","19.65","19","No","stable"
"1855-AGAWH","One year","93.8","31","No","stable"
"7109-CQYUZ","Two year","89.25","52","No","stable"
"1370-GGAWX","One year","94.15","46","No","stable"
"4680-KUTAJ","Month-to-month","55.6","11","No","medium risk"
"5307-UVGNB","Month-to-month","48.7","53","No","medium risk"
"4946-EDSEW","Month-to-month","19.25","11","Yes","churned"
"2883-ILGWO","Month-to-month","104.9","57","No","medium risk"
"2516-VQRRV","Month-to-month","75.45","2","Yes","churned"
"7580-UGXNC","Month-to-month","54.85","2","Yes","churned"
"3642-BYHDO","Two year","19.9","71","No","stable"
"9629-NHXFW","Month-to-month","19.4","1","No","medium risk"
"2696-RZVZW","Two year","25.05","68","No","stable"
"5766-FTRTS","Two year","84.45","72","No","stable"
"0396-HUJBP","Month-to-month","19.3","2","No","medium risk"
"5178-LMXOP","Month-to-month","95.1","1","Yes","churned"
"8879-ZKJOF","One year","79.85","41","No","stable"
"6285-FTQBF","Two year","25.55","72","No","stable"
"8185-UPYBR","Month-to-month","75.5","6","Yes","churned"
"4585-HETAI","Month-to-month","73.75","4","Yes","churned"
"7526-BEZQB","Month-to-month","96.05","12","Yes","churned"
"1474-JUWSM","One year","68.4","58","No","stable"
"3530-CRZSB","Month-to-month","20.65","7","No","medium risk"
"8498-XXGWA","Month-to-month","55.15","65","No","medium risk"
"9617-INGJY","Month-to-month","70.6","1","No","medium risk"
"0621-TSSMU","One year","19.95","56","No","stable"
"7234-KMNRQ","Month-to-month","19","4","No","medium risk"
"7636-PEPNS","One year","44.1","58","No","stable"
"4683-WYDOU","Two year","107.6","62","No","stable"
"9052-DHNKM","One year","61.55","26","No","stable"
"6794-HKIAJ","Month-to-month","90.7","62","No","medium risk"
"5578-NKCXI","One year","99.25","58","No","stable"
"1642-HMARX","Two year","91.7","68","No","stable"
"3096-WPXBT","One year","100.7","61","No","stable"
"8434-PNQZX","Two year","78.45","42","No","stable"
"5950-AAAGJ","Month-to-month","84.3","18","No","medium risk"
"4299-OPXEJ","Two year","19.55","56","No","stable"
"4951-UKAAQ","Month-to-month","88.95","4","Yes","churned"
"9618-LFJRU","Month-to-month","20.45","4","No","medium risk"
"6693-DJWTY","One year","55.6","35","No","stable"
"0744-GKNGE","Month-to-month","86.8","64","No","medium risk"
"6447-EGDIV","One year","20.95","31","No","stable"
"1167-OYZJF","Two year","20.05","67","No","stable"
"2108-YKQTY","Month-to-month","50.7","4","Yes","churned"
"4806-DXQCE","Two year","113.65","70","No","stable"
"4918-QLLIW","Month-to-month","53.4","3","Yes","churned"
"7056-IMHCC","Month-to-month","101.9","53","Yes","churned"
"4854-SSLTN","Two year","59.5","2","No","stable"
"5294-DMSFH","Month-to-month","87.8","29","No","medium risk"
"4837-PZTIC","Two year","41.9","47","No","stable"
"1625-JAIIY","One year","83","68","Yes","churned"
"0603-OLQDC","Month-to-month","69.85","12","No","medium risk"
"3272-VUHPV","Month-to-month","56.3","8","No","medium risk"
"4176-FXYBO","Month-to-month","109.55","54","No","medium risk"
"1063-DHQJF","Two year","92.15","69","No","stable"
"8663-UPDGF","Month-to-month","69.5","26","No","medium risk"
"6719-FGEDO","Two year","97","72","No","stable"
"1837-YQUCE","Two year","58.35","70","No","stable"
"2947-DOMLJ","Month-to-month","50.6","1","Yes","churned"
"4112-LUEIZ","Month-to-month","89.5","10","Yes","churned"
"0369-ZGOVK","One year","70.4","28","No","stable"
"4510-HIMLV","Month-to-month","69.8","1","Yes","churned"
"9919-KNPOO","Month-to-month","94.3","21","No","medium risk"
"8749-JMNKX","Month-to-month","93.8","51","Yes","churned"
"7872-BAAZR","One year","19.55","53","No","stable"
"9391-LMANN","One year","95.95","53","No","stable"
"2430-USGXP","Month-to-month","101.05","24","Yes","churned"
"8174-TBVCF","Two year","94.8","70","No","stable"
"1698-XFZCI","One year","107.75","61","No","stable"
"1877-HKBQX","One year","54.6","11","No","stable"
"4450-DLLMH","Month-to-month","71.3","2","No","medium risk"
"0428-AXXLJ","One year","19.5","25","No","stable"
"2746-DIJLO","One year","56.3","41","No","stable"
"5955-ERIHD","Month-to-month","94.7","18","Yes","churned"
"0917-EZOLA","Two year","104.15","72","Yes","churned"
"3508-VLHCZ","Two year","90.55","71","No","stable"
"4086-ATNFV","One year","60.8","34","No","stable"
"0468-YRPXN","Month-to-month","98.8","29","No","medium risk"
"5996-NRVXR","One year","98.15","40","No","stable"
"3739-YBWAB","One year","35.35","36","No","stable"
"7047-FWEYA","One year","103.15","46","No","stable"
"2000-MPKCA","One year","107.75","58","No","stable"
"9762-YAQAA","One year","81.4","39","No","stable"
"5949-EBSQK","Month-to-month","61.45","4","Yes","churned"
"5473-KHBPS","One year","95.7","52","No","stable"
"0100-DUVFC","One year","104.8","70","No","stable"
"5397-TUPSH","One year","70.95","65","No","stable"
"8950-MTZNV","Month-to-month","44.95","1","No","medium risk"
"0326-VDYXE","One year","97.65","70","No","stable"
"6773-LQTVT","Month-to-month","35.65","29","No","medium risk"
"7274-RTAPZ","Month-to-month","90.55","1","Yes","churned"
"0436-TWFFZ","Two year","85.25","67","No","stable"
"8566-YPRGL","Month-to-month","19.5","1","No","medium risk"
"0311-UNPFF","Month-to-month","88.8","26","Yes","churned"
"6609-MXJHJ","Two year","25.1","30","No","stable"
"2669-OIDSD","Month-to-month","100.05","48","No","medium risk"
"8400-WZICQ","Month-to-month","55.7","55","No","medium risk"
"3834-XUIFC","Month-to-month","85.2","7","Yes","churned"
"9576-SYUHJ","Month-to-month","91.15","37","No","medium risk"
"0410-IPFTY","Month-to-month","83.85","31","No","medium risk"
"2831-EBWRN","Month-to-month","45.9","4","No","medium risk"
"9430-NKQLY","Two year","25.1","72","No","stable"
"8414-MYSHR","Month-to-month","91.4","5","Yes","churned"
"0247-SLUJI","Month-to-month","19.7","1","No","medium risk"
"9402-ORRAH","Month-to-month","91.5","15","No","medium risk"
"6483-OATDN","Month-to-month","51.3","8","No","medium risk"
"1293-HHSHJ","One year","21.1","35","No","stable"
"4840-ORQXB","Month-to-month","104.75","56","No","medium risk"
"7599-FKVXZ","Month-to-month","106.15","42","Yes","churned"
"3982-DQLUS","Month-to-month","85.75","65","No","medium risk"
"8610-ZIKJJ","One year","20.3","2","No","stable"
"3756-VNWDH","One year","100.75","65","No","stable"
"7801-KICAO","Month-to-month","74.15","18","No","medium risk"
"7673-LPRNY","One year","78.55","23","No","stable"
"8229-TNIQA","Month-to-month","45.3","4","Yes","churned"
"6060-QBMGV","Two year","19.85","70","No","stable"
"7339-POGZN","Month-to-month","50.7","4","No","medium risk"
"2828-SLQPF","Month-to-month","45","19","No","medium risk"
"4465-VDKIQ","Month-to-month","77.8","18","No","medium risk"
"2921-XWDJH","Month-to-month","83.45","38","No","medium risk"
"6221-AVQYL","Month-to-month","73.25","2","Yes","churned"
"2558-BUOZZ","One year","94.8","47","No","stable"
"9257-AZMTZ","Two year","20.1","52","No","stable"
"0003-MKNFE","Month-to-month","59.9","9","No","medium risk"
"0975-UYDTX","One year","90.1","26","No","stable"
"7743-EXURX","Month-to-month","51.05","8","Yes","churned"
"4682-BLBUC","One year","70.95","44","No","stable"
"0975-VOOVL","Month-to-month","29.2","3","No","medium risk"
"5968-VXZLG","Month-to-month","46.6","2","No","medium risk"
"5569-KGJHX","Month-to-month","85.35","9","Yes","churned"
"4988-IQIGL","Month-to-month","75.35","1","Yes","churned"
"5201-FRKKS","Month-to-month","74.3","25","No","medium risk"
"9799-CAYJJ","Month-to-month","69.3","2","No","medium risk"
"7730-IUTDZ","Month-to-month","75.2","43","Yes","churned"
"0426-TIRNE","Month-to-month","20.9","1","Yes","churned"
"5443-SCMKX","One year","94.3","58","No","stable"
"8295-KMENE","Two year","76.45","59","No","stable"
"6738-ISCBM","One year","54","44","No","stable"
"9821-BESNZ","One year","104.25","66","No","stable"
"3678-MNGZX","Two year","19.95","68","No","stable"
"1335-NTIUC","Month-to-month","24.95","9","No","medium risk"
"2916-BQZLN","Month-to-month","84.75","19","No","medium risk"
"4558-CGYCZ","Month-to-month","19.75","4","No","medium risk"
"2368-GAKKQ","Two year","113.65","70","No","stable"
"8710-YGLWG","Month-to-month","44.9","1","No","medium risk"
"3199-XGZCY","Month-to-month","75.25","8","No","medium risk"
"3785-KTYSH","Two year","24.6","53","No","stable"
"6814-ZPWFQ","One year","25","51","No","stable"
"4063-EIKNQ","Month-to-month","20.95","11","No","medium risk"
"6993-YCOBK","Two year","110.6","60","No","stable"
"5206-HPJKM","Month-to-month","55.5","17","No","medium risk"
"7587-RZNME","Month-to-month","43.3","3","Yes","churned"
"0748-RDGGM","One year","109.5","70","Yes","churned"
"8393-JMVMB","Month-to-month","19.45","1","No","medium risk"
"5019-GQVCR","Month-to-month","84.85","43","No","medium risk"
"6036-TTFYU","Month-to-month","19.6","16","No","medium risk"
"2550-AEVRU","One year","53.45","57","No","stable"
"0969-RGKCU","One year","19.8","37","No","stable"
"0378-CJKPV","Two year","112.1","72","No","stable"
"4706-AXVKM","Month-to-month","84.8","11","Yes","churned"
"5889-JTMUL","Month-to-month","95.05","50","Yes","churned"
"9026-RNUJS","Month-to-month","50.35","5","Yes","churned"
"3746-EUBYR","Month-to-month","74.6","1","Yes","churned"
"2332-EFBJY","Month-to-month","19.7","16","Yes","churned"
"2880-FPNAE","Month-to-month","74.2","2","No","medium risk"
"1703-MGIAB","Month-to-month","69","17","No","medium risk"
"4311-QTTAI","One year","19.35","16","No","stable"
"9474-PHLYD","Month-to-month","59.45","15","Yes","churned"
"4318-RAJVY","One year","19.8","10","No","stable"
"2165-VOEGB","One year","105.2","46","Yes","churned"
"3612-YUNGG","Two year","109.2","64","No","stable"
"2254-DLXRI","Month-to-month","79.15","1","No","medium risk"
"5062-CJJKH","One year","53.65","25","No","stable"
"9028-LIHRP","Two year","100.2","71","No","stable"
"2219-MVUSO","Month-to-month","45.15","8","Yes","churned"
"1053-MXTTK","Two year","108.65","72","No","stable"
"1530-ZTDOZ","Month-to-month","40.65","49","No","medium risk"
"1301-LOPVR","One year","55.35","29","No","stable"
"0853-TWRVK","Two year","105.6","72","No","stable"
"8914-RBTSB","Month-to-month","93.8","31","Yes","churned"
"6212-ATMLK","Month-to-month","95.7","50","No","medium risk"
"8200-LGKSR","Two year","83.2","71","No","stable"
"1568-BEKZM","Two year","90.05","70","No","stable"
"0670-ANMUU","One year","97.65","71","No","stable"
"6897-RWMUB","Two year","68.05","61","No","stable"
"0963-ZBDRN","Month-to-month","96.2","32","Yes","churned"
"7594-RQHXR","Month-to-month","79.6","1","Yes","churned"
"6999-CHVCF","Two year","102.1","68","No","stable"
"6134-KWTBV","Two year","23.4","62","No","stable"
"1077-HUUJM","Month-to-month","71.05","7","No","medium risk"
"6331-EWIEB","Month-to-month","85.25","20","Yes","churned"
"0895-LNKRC","One year","19.45","6","No","stable"
"2045-BMBTJ","Month-to-month","59.45","33","No","medium risk"
"8417-GSODA","One year","92.2","28","No","stable"
"5171-EPLKN","Two year","19.85","27","No","stable"
"4452-QIIEB","Month-to-month","43.9","7","No","medium risk"
"5998-VVEJY","Month-to-month","80.5","26","Yes","churned"
"1624-NALOJ","Month-to-month","89.8","5","Yes","churned"
"6741-EGCBI","Month-to-month","90.5","30","No","medium risk"
"7820-ZYGNY","One year","90.45","63","No","stable"
"4317-VTEOA","Month-to-month","50.75","1","Yes","churned"
"9677-AVKED","One year","84.6","53","No","stable"
"1670-SVOWZ","Month-to-month","89.65","14","Yes","churned"
"2227-JRSJX","Month-to-month","99.15","21","No","medium risk"
"9847-HNVGP","One year","19.95","17","No","stable"
"6696-YDAYZ","Two year","20.5","16","No","stable"
"8980-WQFWL","Month-to-month","62.1","35","No","medium risk"
"1730-ZMAME","Month-to-month","79.5","32","No","medium risk"
"6506-EYCNH","Month-to-month","19.55","28","No","medium risk"
"4634-JLRJT","Month-to-month","20.35","1","No","medium risk"
"9501-UKKNL","Month-to-month","51.7","59","No","medium risk"
"2560-QTSBS","One year","23.3","72","No","stable"
"7541-YLXCL","One year","65.4","36","Yes","churned"
"4795-WRNVT","Month-to-month","65.1","40","No","medium risk"
"6080-TCMYC","Month-to-month","81.2","40","No","medium risk"
"0260-ZDLGK","Month-to-month","72.9","9","Yes","churned"
"7860-UXCRM","Two year","74.5","63","No","stable"
"6357-JJPQT","Month-to-month","80.5","3","No","high risk"
"2292-XQWSV","One year","60.3","40","No","stable"
"9552-TGUZV","Month-to-month","75","8","No","medium risk"
"5913-INRQV","One year","90.15","34","No","stable"
"8722-NGNBH","Month-to-month","40","5","Yes","churned"
"6210-KBBPI","Month-to-month","99.45","9","Yes","churned"
"9643-YBLUR","Month-to-month","69.05","9","No","medium risk"
"8734-FNWVH","Month-to-month","59.7","31","No","medium risk"
"9447-YPTBX","One year","19.85","50","No","stable"
"0133-BMFZO","Month-to-month","86.25","2","Yes","churned"
"6128-CZOMY","Month-to-month","45.65","1","Yes","churned"
"9540-JYROE","Month-to-month","70.1","8","Yes","churned"
"9026-LHEVG","Month-to-month","40.75","9","No","medium risk"
"2260-USTRB","Month-to-month","70.2","2","Yes","churned"
"3656-TKRVZ","Month-to-month","55.35","3","Yes","churned"
"7011-CVEUC","Month-to-month","95.7","25","No","medium risk"
"6185-TASNN","Month-to-month","46.3","1","No","medium risk"
"7925-PNRGI","Month-to-month","81.3","45","No","medium risk"
"8623-TMRBY","Month-to-month","84.2","51","Yes","churned"
"1552-CZCLL","Month-to-month","20","55","No","medium risk"
"3038-PQIUY","Month-to-month","66.15","38","No","medium risk"
"1501-SGHBW","Month-to-month","45.85","2","Yes","churned"
"9313-CDOGY","Month-to-month","19.6","38","No","medium risk"
"8148-BPLZQ","Month-to-month","49.8","34","No","medium risk"
"2623-DRYAM","One year","101.75","70","No","stable"
"9987-LUTYD","One year","55.15","13","No","stable"
"3208-YPIOE","Month-to-month","75.25","39","Yes","churned"
"4488-KQFDT","One year","103.95","61","No","stable"
"2612-RANWT","Month-to-month","100.15","12","Yes","churned"
"5693-PIPCS","Two year","99.65","41","No","stable"
"0491-KAPQG","Month-to-month","73.7","21","No","medium risk"
"1925-LFCZZ","One year","50.05","55","No","stable"
"8039-EQPIM","Two year","60.25","69","No","stable"
"6900-PXRMS","Month-to-month","105.75","26","Yes","churned"
"8707-RMEZH","One year","87.3","69","No","stable"
